id,name,reviews_combined,user_sentiment,reviews_lemmatized
AV13O1A8GV-KLJ3akUyj,Pink Friday: Roman Reloaded Re-Up (w/dvd),love album good hip hop side current pop sound hype listen everyday gym give 5star rating way metaphors crazy awesome,1,love album good hip hop side current pop sound hype listen everyday gym give 5star rating way metaphor crazy awesome
AV14LG0R-jtxr-f38QfS,Lundberg Organic Cinnamon Toast Rice Cakes,good flavor review collected part promotion good,1,good flavor review collect part promotion good
AV14LG0R-jtxr-f38QfS,Lundberg Organic Cinnamon Toast Rice Cakes,good flavor good,1,good flavor good
AV16khLE-jtxr-f38VFn,K-Y Love Sensuality Pleasure Gel,read reviews looking buying one couples lubricants ultimately disappointed didnt even live reviews read starters neither boyfriend could notice sort enhanced captivating sensation notice however messy consistency reminiscent liquidy vaseline difficult clean pleasant especially since lacked captivating sensation expecting im disappointed paid much lube wont use could use normal personal lubricant 1 less money 2 less mess disappointed,0,read review look buy one couple lubricant ultimately disappoint do not even live review read starter neither boyfriend could notice sort enhanced captivate sensation notice however messy consistency reminiscent liquidy vaseline difficult clean pleasant especially since lack captivate sensation expect I m disappoint pay much lube will not use could use normal personal lubricant 1 less money 2 less mess disappoint
AV16khLE-jtxr-f38VFn,K-Y Love Sensuality Pleasure Gel,husband bought gel us gel caused irritation felt like burning skin wouldnt recommend gel irritation,0,husband buy gel us gel cause irritation feel like burn skin would not recommend gel irritation
AV16khLE-jtxr-f38VFn,K-Y Love Sensuality Pleasure Gel,boyfriend bought spice things bedroom highly disappointed product bought one absolutely love ky mine thought would similar affect absolutely nothing buy worth,0,boyfriend buy spice thing bedroom highly disappointed product buy one absolutely love ky mine think would similar affect absolutely nothing buy worth
AV16khLE-jtxr-f38VFn,K-Y Love Sensuality Pleasure Gel,bought earlier today excited check based product description expecting something like regular ky fans expected left little disappointed disappointing,0,buy early today excite check base product description expect something like regular ky fan expect leave little disappointed disappointing
AV16khLE-jtxr-f38VFn,K-Y Love Sensuality Pleasure Gel,bought product husband try impressed tingling warming left us sticky used ky products past loved ky one disappointing happy,0,buy product husband try impressed tingling warming leave we sticky use ky product past love ky one disappointing happy
AV16khLE-jtxr-f38VFn,K-Y Love Sensuality Pleasure Gel,husband bought extra fun werevboth extremely disappointed especially price waste money product felt nothing sticky mess disappointing,0,husband buy extra fun werevboth extremely disappointed especially price waste money product feel nothing sticky mess disappointing
AV16khLE-jtxr-f38VFn,K-Y Love Sensuality Pleasure Gel,got surprise husband nothing special lube save money get plain ky need lube wish could return refund dont buy,0,get surprise husband nothing special lube save money get plain ky need lube wish could return refund do not buy
